order_id,customer_state,product_category,delivery_days,lateness,risk_score,actual_bad_review
c0fc9ab7bf56d900f1456a75b2cb5ab9,PB,beleza_saude,9,-6,0.3242659122704637,0
6d4f15503da9e2e6278f57468ca35e35,SC,telefonia,11,-14,0.41823650552422253,0
a99bed70b800227cc293174945a645e0,RJ,alimentos,9,-24,0.4296109179136368,1
43c19b4037a93e40cda474629cc40648,SP,artigos_de_festas,23,-11,0.5388009950905709,0
c44a36aa1770cc41a8fb130dfa1bba3b,SP,informatica_acessorios,30,7,0.9019862154857932,1
43f4557e2a514edbbd692027ca5cf280,BA,utilidades_domesticas,27,-5,0.4760493895368367,0
15857ef312413c5064710f14e7d98e39,MG,eletronicos,11,-20,0.29597968905516536,0
d248a26c7a58d74a85d6baf93e5bf772,RS,brinquedos,12,-15,0.3007571750044441,0
287ca65e8ec4a4f782833a94bf514341,MA,perfumaria,17,-2,0.558336005678905,1
fab3dc50c9cba98a6261babbf9c16a62,DF,cool_stuff,7,-16,0.32100814569733366,0
6ecf1a4051b4c5ed613624b460970a26,SP,cama_mesa_banho,4,-26,0.48529457758644,0
f8dd8cacd0d33fb0f421b3d5afd46dad,SP,utilidades_domesticas,4,-9,0.27208765387079814,0
a73a38a5eeac4ab94ef2bcbd90f92e43,SP,esporte_lazer,9,-15,0.3530759314837876,0
fc4bcada7517f413ad3d38e7404c9b3f,SP,eletrodomesticos,6,-20,0.3388794527734732,0
6fc04dd62f16cf5d1986c91166a2125f,RJ,alimentos_bebidas,4,-6,0.3263981363170246,0
0bb6d291f1488ae4922e89c2f6105f33,MG,pet_shop,4,-20,0.37858223754172154,0
c412ea96a1bc4eb7f1a96cd61bbdc6b0,RN,informatica_acessorios,5,-20,0.24416520275808629,0
3923e3ade70348985bd2ca389905cf19,SP,instrumentos_musicais,12,-10,0.300644727443096,0
d80f284c3b6c572dbefb068c5c0d296d,CE,relogios_presentes,7,-11,0.344209109380695,0
e09f44857c4f24c72e4a6efd07aef776,PR,beleza_saude,4,-21,0.34345937672314997,0
a45fc977eae1ef0ed4504f346d31a0fb,BA,telefonia,4,-23,0.6706261508988215,0
38fd57a781f31c3c00a012db1e52f6fa,AL,beleza_saude,25,-1,0.4854424494915447,0
98c960af25c3341860e320f6780f28ce,DF,beleza_saude,10,-36,0.30768166649932877,0
7538c7b3219a1c960b4a0561e2099cae,PR,livros_interesse_geral,15,-14,0.336481106418121,0
08a2535facf687274c238d2c9f59b7ce,GO,esporte_lazer,11,-10,0.3390948084180924,0
7a9436be8022293777e4f2619c171b17,RJ,beleza_saude,16,-4,0.20960913051981522,0
5c9a7e0865669dc34b4e6a062751d8f4,AL,beleza_saude,12,-6,0.32340280373656477,0
49f02b4e9f14707b1cb78c09ecb89ed3,AL,beleza_saude,38,14,0.9002990166039091,1
bcc93ae5358fc8dbcbcb60fbcfff8f41,RS,cama_mesa_banho,21,-4,0.5418827382353784,0
9e8b358ee10c7f0194a7a017f1334dfa,MG,moveis_decoracao,2,-14,0.2830011793884213,0
d181dfce5d8355bc51c2370c6910d4bc,DF,automotivo,13,-21,0.43157204660355747,0
